,time,GDOP
0,2023-08-02 00:00:00,2.04
1,2023-08-02 00:10:00,1.95
2,2023-08-02 00:20:00,1.83
3,2023-08-02 00:30:00,2.28
4,2023-08-02 00:40:00,2.72
5,2023-08-02 00:50:00,2.97
6,2023-08-02 01:00:00,3.15
7,2023-08-02 01:10:00,2.06
8,2023-08-02 01:20:00,2.15
9,2023-08-02 01:30:00,2.22
10,2023-08-02 01:40:00,2.25
11,2023-08-02 01:50:00,1.91
12,2023-08-02 02:00:00,1.73
13,2023-08-02 02:10:00,1.85
14,2023-08-02 02:20:00,1.96
15,2023-08-02 02:30:00,2.03
16,2023-08-02 02:40:00,2.36
17,2023-08-02 02:50:00,2.35
18,2023-08-02 03:00:00,2.26
19,2023-08-02 03:10:00,2.14
20,2023-08-02 03:20:00,2.97
21,2023-08-02 03:30:00,2.59
22,2023-08-02 03:40:00,2.65
23,2023-08-02 03:50:00,1.71
24,2023-08-02 04:00:00,1.91
25,2023-08-02 04:10:00,1.7
26,2023-08-02 04:20:00,1.75
27,2023-08-02 04:30:00,1.81
28,2023-08-02 04:40:00,1.88
29,2023-08-02 04:50:00,1.77
30,2023-08-02 05:00:00,1.88
31,2023-08-02 05:10:00,2.17
32,2023-08-02 05:20:00,2.32
33,2023-08-02 05:30:00,2.39
34,2023-08-02 05:40:00,3.33
35,2023-08-02 05:50:00,3.09
36,2023-08-02 06:00:00,2.21
37,2023-08-02 06:10:00,2.05
38,2023-08-02 06:20:00,1.88
39,2023-08-02 06:30:00,2.66
40,2023-08-02 06:40:00,2.5
41,2023-08-02 06:50:00,2.47
42,2023-08-02 07:00:00,2.48
43,2023-08-02 07:10:00,2.54
44,2023-08-02 07:20:00,2.62
45,2023-08-02 07:30:00,2.66
46,2023-08-02 07:40:00,2.04
47,2023-08-02 07:50:00,2.13
48,2023-08-02 08:00:00,2.28
49,2023-08-02 08:10:00,1.83
50,2023-08-02 08:20:00,1.85
51,2023-08-02 08:30:00,2.44
52,2023-08-02 08:40:00,2.47
53,2023-08-02 08:50:00,2.43
54,2023-08-02 09:00:00,2.34
55,2023-08-02 09:10:00,2.04
56,2023-08-02 09:20:00,1.95
57,2023-08-02 09:30:00,1.85
58,2023-08-02 09:40:00,1.94
59,2023-08-02 09:50:00,2.28
60,2023-08-02 10:00:00,2.36
61,2023-08-02 10:10:00,2.38
62,2023-08-02 10:20:00,2.33
63,2023-08-02 10:30:00,2.22
64,2023-08-02 10:40:00,2.08
65,2023-08-02 10:50:00,2.55
66,2023-08-02 11:00:00,2.29
67,2023-08-02 11:10:00,2.24
68,2023-08-02 11:20:00,2.14
69,2023-08-02 11:30:00,1.85
70,2023-08-02 11:40:00,1.74
71,2023-08-02 11:50:00,1.82
72,2023-08-02 12:00:00,1.87
73,2023-08-02 12:10:00,1.87
74,2023-08-02 12:20:00,2.1
75,2023-08-02 12:30:00,2.07
76,2023-08-02 12:40:00,2.59
77,2023-08-02 12:50:00,2.16
78,2023-08-02 13:00:00,2.26
79,2023-08-02 13:10:00,2.3
80,2023-08-02 13:20:00,1.69
81,2023-08-02 13:30:00,1.71
82,2023-08-02 13:40:00,2.15
83,2023-08-02 13:50:00,2.2
84,2023-08-02 14:00:00,2.24
85,2023-08-02 14:10:00,1.77
86,2023-08-02 14:20:00,2.26
87,2023-08-02 14:30:00,2.37
88,2023-08-02 14:40:00,2.26
89,2023-08-02 14:50:00,2.42
90,2023-08-02 15:00:00,2.5
91,2023-08-02 15:10:00,2.14
92,2023-08-02 15:20:00,2.04
93,2023-08-02 15:30:00,2.27
94,2023-08-02 15:40:00,2.25
95,2023-08-02 15:50:00,2.09
96,2023-08-02 16:00:00,2.69
97,2023-08-02 16:10:00,2.1
98,2023-08-02 16:20:00,2.2
99,2023-08-02 16:30:00,2.31
100,2023-08-02 16:40:00,2.63
101,2023-08-02 16:50:00,2.77
102,2023-08-02 17:00:00,1.83
103,2023-08-02 17:10:00,1.92
104,2023-08-02 17:20:00,2.02
105,2023-08-02 17:30:00,1.8
106,2023-08-02 17:40:00,1.83
107,2023-08-02 17:50:00,1.83
108,2023-08-02 18:00:00,1.8
109,2023-08-02 18:10:00,2.2
110,2023-08-02 18:20:00,2.08
111,2023-08-02 18:30:00,1.95
112,2023-08-02 18:40:00,3.45
113,2023-08-02 18:50:00,2.92
114,2023-08-02 19:00:00,2.45
115,2023-08-02 19:10:00,2.88
116,2023-08-02 19:20:00,2.9
117,2023-08-02 19:30:00,2.91
118,2023-08-02 19:40:00,2.0
119,2023-08-02 19:50:00,2.08
120,2023-08-02 20:00:00,2.19
121,2023-08-02 20:10:00,1.9
122,2023-08-02 20:20:00,2.02
123,2023-08-02 20:30:00,2.13
124,2023-08-02 20:40:00,1.83
125,2023-08-02 20:50:00,1.89
126,2023-08-02 21:00:00,1.87
127,2023-08-02 21:10:00,2.1
128,2023-08-02 21:20:00,2.54
129,2023-08-02 21:30:00,2.02
130,2023-08-02 21:40:00,2.01
131,2023-08-02 21:50:00,1.96
132,2023-08-02 22:00:00,1.72
133,2023-08-02 22:10:00,1.66
134,2023-08-02 22:20:00,1.6
135,2023-08-02 22:30:00,2.47
136,2023-08-02 22:40:00,2.41
137,2023-08-02 22:50:00,2.29
138,2023-08-02 23:00:00,2.05
139,2023-08-02 23:10:00,2.16
140,2023-08-02 23:20:00,1.82
141,2023-08-02 23:30:00,1.91
142,2023-08-02 23:40:00,1.95
143,2023-08-02 23:50:00,2.07
144,2023-08-03 00:00:00,2.01
